id,nombre,popularity,artista,pais,genero
0,Unwritten,81,Natasha Bedingfield,AT,pop
1,Angel,28,"Shaggy, Rayvon",AT,NULL
2,Mr. Brightside,82,The Killers,AT,rock
3,Rooftop,0,Sasha,AT,pop
4,Numb,83,Linkin Park,AT,rock
5,This Is My Time,0,Sasha,AT,pop
6,In the End,82,Linkin Park,AT,rock
7,Dímelo bajito,0,Manzanita,AT,NULL
8,Yellow,86,Coldplay,AT,rock
9,La vita è,1,Nek,AT,pop
10,Mockingbird,81,Eminem,AT,rap
11,Here She Comes Again,0,Sasha,AT,pop
12,Without Me,83,Eminem,AT,rap
13,Turn It into Something Special,0,Sasha,AT,pop
14,How You Remind Me,80,Nickelback,AT,rock
15,San Pedro,0,"Revolver, Mick Glossp",AT,NULL
16,Faint,79,Linkin Park,AT,rock
17,Cabelo Raspadinho,2,Chiclete Com Banana,AT,brasil
18,The Scientist,83,Coldplay,AT,Coldplay
19,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,AT,NULL
20,Last Resort,76,Papa Roach,AT,rock
21,David's Arm - from Deuce,0,Korn,AT,NULL
22,Can't Stop,80,Red Hot Chili Peppers,AT,rock
23,Eso de saber,0,Revolver,AT,LO MAS
24,The Real Slim Shady,81,Eminem,AT,rap
25,He Loves U Not,0,Dream,AT,pop
26,"Irgendwie, irgendwo, irgendwann",62,Nena,AT,80s
27,Devolva-Me,0,Adriana Calcanhotto,AT,mpb
28,L'Amour Toujours,71,Gigi D'Agostino,AT,dance
29,Stuck in the Middle with You,0,Louise,AT,pop
30,Somewhere Only We Know,80,Keane,AT,britpop
31,2 Faced,0,Louise,AT,pop
32,Dancing in the Moonlight,51,Toploader,AT,pop
33,Kiedy góral umiera,0,Harlem,AT,polish
34,One Step Closer,78,Linkin Park,AT,Nu Metal
35,El peligro,0,Revolver,AT,metal
36,Crazy In Love (feat. JAY-Z),77,"Beyoncé, JAY-Z",AT,NULL
37,This Is Me,0,Dream,AT,pop
38,Sonne,73,Rammstein,AT,industrial metal
39,Beautiful Inside,0,Louise,AT,pop
40,Denkmal,61,Wir sind Helden,AT,german
41,Wierz? w siebie,0,Harlem,AT,NULL
42,Ein Kompliment,61,Sportfreunde Stiller,AT,german
43,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",AT,NULL
44,Bring Me To Life,80,Evanescence,AT,rock
45,Ni na no,0,Javier Álvarez,AT,NULL
46,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",AT,NULL
47,Call Me,0,Blondie,AT,80s
48,Till I Collapse,79,"Eminem, Nate Dogg",AT,NULL
49,Mestizo,0,Revolver,AT,Revolver
50,Unwritten,81,Natasha Bedingfield,DE,pop
51,Angel,28,"Shaggy, Rayvon",DE,NULL
52,Numb,83,Linkin Park,DE,rock
53,This Is My Time,0,Sasha,DE,pop
54,Mr. Brightside,82,The Killers,DE,rock
55,Rooftop,0,Sasha,DE,pop
56,In the End,82,Linkin Park,DE,rock
57,La vita è,1,Nek,DE,pop
58,Mockingbird,81,Eminem,DE,rap
59,Here She Comes Again,0,Sasha,DE,pop
60,Without Me,83,Eminem,DE,rap
61,Turn It into Something Special,0,Sasha,DE,pop
62,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",DE,NULL
63,He Loves U Not,0,Dream,DE,pop
64,"Irgendwie, irgendwo, irgendwann",62,Nena,DE,80s
65,This Is Me,0,Dream,DE,pop
66,How You Remind Me,80,Nickelback,DE,rock
67,Dímelo bajito,0,Manzanita,DE,NULL
68,Faint,79,Linkin Park,DE,rock
69,Csak Játék,0,Zorán,DE,Ballad
70,Yellow,86,Coldplay,DE,rock
71,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,DE,NULL
72,Denkmal,61,Wir sind Helden,DE,german
73,Stuck in the Middle with You,0,Louise,DE,pop
74,Last Resort,76,Papa Roach,DE,rock
75,2 Faced,0,Louise,DE,pop
76,Crazy In Love (feat. JAY-Z),77,"Beyoncé, JAY-Z",DE,NULL
77,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,DE,NULL
78,Sonne,73,Rammstein,DE,industrial metal
79,Cabelo Raspadinho,2,Chiclete Com Banana,DE,brasil
80,The Real Slim Shady,81,Eminem,DE,rap
81,Kiedy góral umiera,0,Harlem,DE,polish
82,Ein Kompliment,61,Sportfreunde Stiller,DE,german
83,Beautiful Inside,0,Louise,DE,pop
84,Till I Collapse,79,"Eminem, Nate Dogg",DE,NULL
85,The Way I Am,0,Eminem,DE,rap
86,One Step Closer,78,Linkin Park,DE,Nu Metal
87,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",DE,NULL
88,Bring Me To Life,80,Evanescence,DE,rock
89,Fuer dich (ZDF-Fernsehgarten 08.06.2003) - VOD,0,Yvonne Catterfeld,DE,NULL
90,L'Amour Toujours,71,Gigi D'Agostino,DE,dance
91,Mestizo,0,Revolver,DE,Revolver
92,Can't Stop,80,Red Hot Chili Peppers,DE,rock
